fiscal_year,Customer,PlatformPortfolio,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1987,Defense,"Electronics, Comms, & Sensors",S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-171000
1988,Defense,Aircraft,B,Big Five,PID,NULL,1,1,1,1,NULL,444000
1988,Defense,Aircraft,L,Large Vendor,PID,NULL,1,1,4,4,NULL,-7000
1988,Defense,Aircraft,M,Medium Vendor,PDuns,NULL,0,0,2,2,NULL,-78330
1988,Defense,Aircraft,M,Medium Vendor,PDuns,NULL,1,1,3,3,NULL,-57000
1988,Defense,"Electronics, Comms, & Sensors",B,Big Five,PID,NULL,1,1,1,1,NULL,250000
1988,Defense,"Electronics, Comms, & Sensors",L,Large Vendor,PID,NULL,1,1,4,4,NULL,936000
1988,Defense,"Electronics, Comms, & Sensors",M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,73000
1988,Defense,"Electronics, Comms, & Sensors",S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-39000
1988,Defense,"Electronics, Comms, & Sensors",S,Always Small Vendor,PDuns,NULL,1,1,2,2,NULL,840000
1988,Defense,Facilities and Construction,L,Large Vendor,PID,NULL,1,1,1,1,NULL,44000
1988,Defense,Facilities and Construction,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,25000
1988,Defense,Facilities and Construction,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,2,NULL,10000
1988,Defense,Facilities and Construction,S,Always Small Vendor,PDuns,NULL,1,1,1,1,NULL,591000
1988,Defense,Ordnance and Missiles,L,Large Vendor,PID,NULL,1,1,2,2,NULL,172000
1988,Defense,Ordnance and Missiles,M,Medium Vendor,PDuns,NULL,0,0,1,1,NULL,-60000
1988,Defense,Ordnance and Missiles,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,200000
1988,Defense,Ordnance and Missiles,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,1486000
1988,Defense,Other R&D and Knowledge Based,L,Large Vendor,PID,NULL,1,1,1,1,NULL,60000
1988,Defense,Other R&D and Knowledge Based,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,89000
1988,Defense,Other R&D and Knowledge Based,M,Medium Vendor,PID,NULL,1,1,1,1,NULL,48000
1988,Defense,Other Services,M,Medium Vendor,PDuns,NULL,1,1,1,1,NULL,85000
1988,Defense,Other Services,M,Medium Vendor,PID,NULL,1,1,1,1,NULL,150000
