fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	S	Always Small Vendor	PDuns	NULL	NULL	0	0	0	1	1	NULL	-171000.0000
1988	Defense	B	Big Five	PID	NULL	NULL	1	1	1	2	2	NULL	694000.0000
1988	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	60000.0000
1988	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	8	8	NULL	2400000.0000
1988	Defense	M	Medium Vendor	PDuns	NULL	NULL	0	0	0	3	3	NULL	-138330.0000
1988	Defense	M	Medium Vendor	PDuns	NULL	NULL	0	1	1	5	5	NULL	296000.0000
1988	Defense	M	Medium Vendor	PDuns	NULL	NULL	1	1	1	5	5	NULL	279000.0000
1988	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	-263000.0000
1988	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	198000.0000
1988	Defense	N	Sometimes Small Vendor	PDuns	NULL	NULL	1	1	1	1	5	NULL	521000.0000
1988	Defense	S	Always Small Vendor	PDuns	NULL	NULL	0	0	0	2	2	NULL	1447000.0000
1988	Defense	S	Always Small Vendor	PDuns	NULL	NULL	0	1	1	3	3	NULL	771000.0000
1988	Defense	S	Always Small Vendor	PDuns	NULL	NULL	1	1	1	2	2	NULL	1388000.0000
1989	Defense	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	79809000.0000
1989	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	3	3	NULL	204000.0000
1989	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	30	30	NULL	250386000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	NULL	0	0	0	11	11	NULL	-927000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	NULL	0	0	1	1	1	NULL	44000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	NULL	0	1	1	177	190	NULL	19750000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	NULL	1	1	1	135	188	NULL	317659000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	-595000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	16	16	NULL	3193000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	21	21	NULL	294572975.0000
1989	Defense	N	Sometimes Small Vendor	PDuns	NULL	NULL	0	1	1	9	12	NULL	3020000.0000
