fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-171000.0000
1988	Defense	Aircraft	B	Big Five	PID	NULL	1	1	1	1	NULL	444000.0000
1988	Defense	Aircraft	L	Large Vendor	PID	NULL	1	1	4	4	NULL	-7000.0000
1988	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	0	0	2	2	NULL	-78330.0000
1988	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	1	1	3	3	NULL	-57000.0000
1988	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	1	1	1	1	NULL	250000.0000
1988	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	1	1	4	4	NULL	936000.0000
1988	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	73000.0000
1988	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-39000.0000
1988	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	NULL	1	1	2	2	NULL	840000.0000
1988	Defense	Facilities and Construction	L	Large Vendor	PID	NULL	1	1	1	1	NULL	44000.0000
1988	Defense	Facilities and Construction	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	25000.0000
1988	Defense	Facilities and ConstructionN		Sometimes Small Vendor	PDuns	NULL	1	1	1	2	NULL	10000.0000
1988	Defense	Facilities and Construction	S	Always Small Vendor	PDuns	NULL	1	1	1	1	NULL	591000.0000
1988	Defense	Ordnance and Missiles	L	Large Vendor	PID	NULL	1	1	2	2	NULL	172000.0000
1988	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	-60000.0000
1988	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	200000.0000
1988	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	1486000.0000
1988	Defense	Other R&D and Knowledge Based	L	Large Vendor	PID	NULL	1	1	1	1	NULL	60000.0000
1988	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	89000.0000
1988	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	1	1	1	1	NULL	48000.0000
1988	Defense	Other Services	M	Medium Vendor	PDuns	NULL	1	1	1	1	NULL	85000.0000
1988	Defense	Other Services	M	Medium Vendor	PID	NULL	1	1	1	1	NULL	150000.0000
1988	Defense	Other Services	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	3	NULL	511000.0000
1988	Defense	Other Services	S	Always Small Vendor	PDuns	NULL	1	1	1	1	NULL	506000.0000
1988	Defense	Ships & Submarines	L	Large Vendor	PID	NULL	1	1	1	1	NULL	1255000.0000
1988	Defense	Ships & Submarines	M	Medium Vendor	PDuns	NULL	1	1	2	2	NULL	160000.0000
1988	Defense	Ships & Submarines	M	Medium Vendor	PID	NULL	1	1	1	1	NULL	-263000.0000
1988	Defense	Space Systems	S	Always Small Vendor	PDuns	NULL	1	1	1	1	NULL	222000.0000
1989	Defense	NULL	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	NULL
1989	Defense	NULL	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	NULL
1989	Defense	NULL	S	Always Small Vendor	PDuns	NULL	1	1	1	5	NULL	NULL
1989	Defense	Aircraft	B	Big Five	PID	NULL	1	1	3	3	NULL	3136000.0000
1989	Defense	Aircraft	L	Large Vendor	PID	NULL	1	1	11	11	NULL	45101000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	-2088000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	0	1	1	1	NULL	44000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	1	1	13	13	NULL	6762000.0000
1989	Defense	Aircraft	M	Medium Vendor	PID	NULL	1	1	2	2	NULL	5287000.0000
1989	Defense	Aircraft	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	153000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns	NULL	0	0	3	3	NULL	-1022029.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns	NULL	1	1	7	10	NULL	18469000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PID	NULL	1	1	1	1	NULL	314000.0000
1989	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	1	1	2	2	NULL	2399000.0000
1989	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	1	1	22	22	NULL	50792000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	0	0	2	2	NULL	-12000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	1	1	63	83	NULL	37611000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	NULL	1	1	7	7	NULL	20089975.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns	NULL	1	1	8	9	NULL	10850000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PID	NULL	1	1	1	1	NULL	1097000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	NULL	1	1	31	63	NULL	13827000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PID	NULL	1	1	2	2	NULL	628000.0000
1989	Defense	Facilities and Construction	L	Large Vendor	PID	NULL	1	1	5	5	NULL	9526000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	-139000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns	NULL	1	1	150	166	NULL	42438000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PID	NULL	1	1	10	10	NULL	2250000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns	NULL	1	1	10	14	NULL	45899000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns	NULL	0	0	3	3	NULL	-575000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns	NULL	1	1	162	673	NULL	319386000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PID	NULL	1	1	5	5	NULL	847000.0000
1989	Defense	Land Vehicles	B	Big Five	PID	NULL	1	1	1	1	NULL	25000.0000
1989	Defense	Land Vehicles	L	Large Vendor	PID	NULL	1	1	4	4	NULL	58595000.0000
1989	Defense	Land Vehicles	M	Medium Vendor	PDuns	NULL	1	1	5	5	NULL	287000.0000
1989	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns	NULL	1	1	2	2	NULL	308000.0000
1989	Defense	Land Vehicles	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-90000.0000
1989	Defense	Land Vehicles	S	Always Small Vendor	PDuns	NULL	1	1	2	6	NULL	9369000.0000
1989	Defense	Missile Defense	L	Large Vendor	PID	NULL	1	1	2	2	NULL	948000.0000
1989	Defense	Ordnance and Missiles	B	Big Five	PID	NULL	1	1	3	3	NULL	53339000.0000
1989	Defense	Ordnance and Missiles	L	Large Vendor	PID	NULL	1	1	12	12	NULL	34184000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns	NULL	1	1	11	11	NULL	3872000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	-595000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PID	NULL	1	1	3	3	NULL	177430000.0000
1989	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns	NULL	1	1	2	2	NULL	298000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns	NULL	1	1	10	27	NULL	14872000.0000
1989	Defense	Other Products	L	Large Vendor	PID	NULL	1	1	3	3	NULL	287000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	-55000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns	NULL	1	1	27	28	NULL	3138000.0000
1989	Defense	Other Products	M	Medium Vendor	PID	NULL	1	1	1	1	NULL	40000.0000
1989	Defense	Other Products	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	408000.0000
1989	Defense	Other Products	S	Always Small Vendor	PDuns	NULL	1	1	3	22	NULL	1659000.0000
1989	Defense	Other R&D and Knowledge Based	B	Big Five	PID	NULL	1	1	3	3	NULL	2231000.0000
1989	Defense	Other R&D and Knowledge Based	L	Large Vendor	PID	NULL	1	1	12	12	NULL	8324000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	NULL	0	0	1	1	NULL	44000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	NULL	1	1	35	37	NULL	49631000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	1	1	12	12	NULL	3962000.0000
1989	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns	NULL	1	1	2	2	NULL	2103000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns	NULL	1	1	21	38	NULL	7680000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PID	NULL	1	1	4	4	NULL	1378000.0000
1989	Defense	Other Services	B	Big Five	PID	NULL	1	1	1	1	NULL	52000.0000
1989	Defense	Other Services	L	Large Vendor	PID	NULL	1	1	2	2	NULL	210000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns	NULL	1	1	19	24	NULL	190402000.0000
1989	Defense	Other Services	M	Medium Vendor	PID	NULL	1	1	2	2	NULL	109000.0000
1989	Defense	Other Services	N	Sometimes Small Vendor	PDuns	NULL	1	1	3	3	NULL	381000.0000
1989	Defense	Other Services	S	Always Small Vendor	PDuns	NULL	1	1	14	41	NULL	193936000.0000
1989	Defense	Ships & Submarines	B	Big Five	PID	NULL	1	1	3	3	NULL	18627000.0000
1989	Defense	Ships & Submarines	L	Large Vendor	PID	NULL	1	1	11	11	NULL	42623000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns	NULL	0	0	4	4	NULL	1323000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns	NULL	1	1	24	25	NULL	3268000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PID	NULL	1	1	8	8	NULL	88598000.0000
1989	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns	NULL	1	1	5	6	NULL	3442000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-39000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns	NULL	1	1	35	79	NULL	26856000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PID	NULL	1	1	1	1	NULL	186000.0000
1989	Defense	Space Systems	S	Always Small Vendor	PDuns	NULL	1	1	1	1	NULL	-32000.0000
1990	Defense	NULL	B	Big Five	PID	NULL	1	1	3	3	NULL	NULL
1990	Defense	NULL	L	Large Vendor	PID	NULL	0	0	1	1	NULL	NULL
1990	Defense	NULL	L	Large Vendor	PID	NULL	1	1	19	19	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns	NULL	0	0	29	30	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns	NULL	1	1	71	100	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PID	NULL	1	1	3	3	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns	NULL	0	0	1	1	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns	NULL	1	1	67	1187	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PID	NULL	1	1	11	11	NULL	NULL
1990	Defense	Aircraft	NULL	NULL	PID	NULL	NULL	NULL	3	3	NULL	28611000.0000
1990	Defense	Aircraft	B	Big Five	PID	NULL	1	1	5	5	NULL	5740989707.0000
1990	Defense	Aircraft	J	Large: Big 5 JV	PID	NULL	1	1	1	1	NULL	103874000.0000
1990	Defense	Aircraft	L	Large Vendor	PID	NULL	1	1	42	42	NULL	18504937107.0000
1990	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	0	0	7	7	NULL	-543000.0000
1990	Defense	Aircraft	M	Medium Vendor	PDuns	NULL	1	1	299	484	NULL	1146451600.0000
1990	Defense	Aircraft	M	Medium Vendor	PID	NULL	1	1	23	23	NULL	431921000.0000
1990	Defense	Aircraft	N	Sometimes Small Vendor	PDuns	NULL	0	0	8	8	NULL	-1436000.0000
1990	Defense	Aircraft	N	Sometimes Small Vendor	PDuns	NULL	0	1	1	1	NULL	130000.0000
1990	Defense	Aircraft	N	Sometimes Small Vendor	PDuns	NULL	1	1	554	2134	NULL	2257582000.0000
1990	Defense	Aircraft	N	Sometimes Small Vendor	PID	NULL	1	1	32	32	NULL	665682734.0000
1990	Defense	Aircraft	S	Always Small Vendor	PDuns	NULL	0	0	13	13	NULL	-957000.0000
1990	Defense	Aircraft	S	Always Small Vendor	PDuns	NULL	0	1	4	4	NULL	514000.0000
1990	Defense	Aircraft	S	Always Small Vendor	PDuns	NULL	1	1	258	264	NULL	122383000.0000
1990	Defense	Aircraft	S	Always Small Vendor	PID	NULL	1	1	5	5	NULL	19163000.0000
1990	Defense	Electronics, Comms, & Sensors	NULL	NULL	PID	NULL	NULL	NULL	7	7	NULL	13617000.0000
1990	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	0	0	1	1	NULL	-35000.0000
1990	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	1	1	5	5	NULL	2156836000.0000
1990	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	1	1	55	55	NULL	9904730781.0000
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	0	0	10	10	NULL	-1266000.0000
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	0	1	1	1	NULL	40000.0000
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	NULL	1	1	743	1226	NULL	1699651600.0000
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	NULL	0	1	1	1	NULL	34000.0000
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	NULL	1	1	57	57	NULL	708124000.0000
1990	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns	NULL	0	0	6	6	NULL	-10588000.0000
