fiscal_year	Customer	SubCustomer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1988	Defense	Army	N	Sometimes Small Vendor	PDuns	NULL	NULL	1	1	1	1	1	NULL	-35000.0000
1988	Defense	Navy	L	Large Vendor	PID	NULL	NULL	1	1	1	7	7	NULL	2298000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns	NULL	NULL	1	1	1	4	4	NULL	79000.0000
1988	Defense	Navy	N	Sometimes Small Vendor	PDuns	NULL	NULL	1	1	1	1	4	NULL	556000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns	NULL	NULL	0	0	0	1	1	NULL	1486000.0000
1988	Defense	Other DoD	M	Medium Vendor	PDuns	NULL	NULL	1	1	1	1	1	NULL	200000.0000
1989	Defense	Army	M	Medium Vendor	PDuns	NULL	NULL	0	0	0	2	2	NULL	44000.0000
1989	Defense	Army	M	Medium Vendor	PDuns	NULL	NULL	0	1	1	5	5	NULL	776000.0000
1989	Defense	Army	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	114000.0000
1989	Defense	Army	N	Sometimes Small Vendor	PDuns	NULL	NULL	1	1	1	2	2	NULL	27000.0000
1989	Defense	Army	S	Always Small Vendor	PDuns	NULL	NULL	0	0	0	1	1	NULL	-90000.0000
1989	Defense	Army	S	Always Small Vendor	PDuns	NULL	NULL	0	1	1	5	5	NULL	488000.0000
1989	Defense	Army	S	Always Small Vendor	PDuns	NULL	NULL	1	1	1	5	25	NULL	68416000.0000
1989	Defense	Navy	M	Medium Vendor	PDuns	NULL	NULL	0	0	1	1	1	NULL	44000.0000
1989	Defense	Navy	S	Always Small Vendor	PID	NULL	NULL	0	1	1	7	7	NULL	1138000.0000
