"Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Product or Service Code","Product or Service Description","Type of Contract","Action Obligation",
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","7025","INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES","FIRM FIXED PRICE","$2,310,000.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","7110","OFFICE FURNITURE","FIRM FIXED PRICE","$63,234.51","5"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","7195","MISCELLANEOUS FURNITURE AND FIXTURES","FIRM FIXED PRICE","$16,171.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","8455","BADGES AND INSIGNIA","FIRM FIXED PRICE","$30,692.50","5"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD62","R&D- DEFENSE OTHER: CONSTRUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST NO FEE","$0.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","COST NO FEE","$9,628,902.00","43"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","COST PLUS FIXED FEE","$23,362,366.00","60"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","FIRM FIXED PRICE","$11,211,000.00","23"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST NO FEE","$77,829,966.58","144"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST PLUS FIXED FEE","$270,522,067.22","520"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST SHARING","$2,504,819.00","4"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","FIRM FIXED PRICE","$31,544,061.20","55"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","COST NO FEE","$340,048.06","3"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","COST PLUS FIXED FEE","$253,400,731.03","233"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","COST PLUS INCENTIVE FEE","$0.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","FIRM FIXED PRICE","$1,612,766.00","14"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","FIRM FIXED PRICE","$475,264.00","2"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AD97","R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)","COST PLUS FIXED FEE","$5,339,574.00","3"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AE92","R&D- ECONOMIC GROWTH: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST PLUS FIXED FEE","$1,395,747.00","4"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AE93","R&D- ECONOMIC GROWTH: OTHER (ADVANCED DEVELOPMENT)","COST PLUS FIXED FEE","$238,051.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AN92","R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST NO FEE","$0.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","COST PLUS FIXED FEE","$4,431,983.00","8"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","FIRM FIXED PRICE","$473,664.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","COST NO FEE","$378,102.81","6"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","COST PLUS FIXED FEE","$28,859,554.37","42"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","D301","IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE","COST PLUS AWARD FEE","$64,746,951.82","25"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","FIXED PRICE LEVEL OF EFFORT","-$460,428.12","2"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","FIRM FIXED PRICE","$1,761,293.12","6"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","G003","SOCIAL- RECREATIONAL","FIRM FIXED PRICE","$20,828.49","6"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R406","SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELOPMENT","TIME AND MATERIALS","-$10,256.14","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","FIRM FIXED PRICE","-$320,786.96","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R430","SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","COST PLUS FIXED FEE","$7,378,898.56","4"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R430","SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","FIRM FIXED PRICE","$2,400,000.00","1"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R499","SUPPORT- PROFESSIONAL: OTHER","COST PLUS FIXED FEE","$2,708,658.00","4"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R499","SUPPORT- PROFESSIONAL: OTHER","FIRM FIXED PRICE","$12,984,441.25","28"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R499","SUPPORT- PROFESSIONAL: OTHER","FIXED PRICE AWARD FEE","$21,063,413.95","9"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R499","SUPPORT- PROFESSIONAL: OTHER","LABOR HOURS","$2,029,577.12","72"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R499","SUPPORT- PROFESSIONAL: OTHER","ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER)","$0.00","9"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R703","SUPPORT- MANAGEMENT: ACCOUNTING","FIRM FIXED PRICE","$2,666,240.17","4"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R704","SUPPORT- MANAGEMENT: AUDITING","FIRM FIXED PRICE","$3,854,888.57","6"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","R799","SUPPORT- MANAGEMENT: OTHER","FIRM FIXED PRICE","$22,881,196.13","17"
"9700","DEPT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","97AE","V126","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH","FIRM FIXED PRICE","$6,530,871.00","2"
