"","fiscal_year","Action.Obligation.Then.Year","Action.Obligation.OMB.2019","Number.Of.Actions"
"1",2000,132161208715.387,189311564414.844,312778
"2",2001,143965452821.961,201399763222.893,334084
"3",2002,169760647133.755,233703757241.305,482342
"4",2003,211531431330.696,285747400724.247,612262
"5",2004,229628309221.133,302695397224.603,779845
"6",2005,265504903975.303,339332190448.653,1531399
"7",2006,295091911747.325,365265445275.146,1429639
"8",2007,328009931185.57,395278387387.206,1564762
"9",2008,377658348244.613,445854621484.834,1680762
"10",2009,381083238911.028,444724139359.998,1592895
"11",2010,362182396369.081,418979834891.342,1628488
"12",2011,368179302118.429,417434417806.714,11933983
"13",2012,357276953017.996,397807657842.675,12369184
"14",2013,306273833641.178,335355192010.347,10588183
"15",2014,283058706776.203,304395052746.102,12851142
"16",2015,274007263066.162,291146749007.332,13447630
"17",2016,298716754261.778,313773584481.024,13786236
"18",2017,319788996457.7,330230740568.33,14424924
"19",2018,376483691404.534,382781379076.914,36920734
