fiscal_year,Customer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCounty,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1987,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,1,NULL,-171000.0000
1988,Defense,B,Big Five,PID,NULL,1,1,2,2,NULL,694000.0000
1988,Defense,L,Large Vendor,PID,NULL,1,1,9,9,NULL,2460000.0000
1988,Defense,M,Medium Vendor,PDuns,NULL,0,0,3,3,NULL,-138330.0000
1988,Defense,M,Medium Vendor,PDuns,NULL,1,1,10,10,NULL,575000.0000
1988,Defense,M,Medium Vendor,PID,NULL,1,1,2,2,NULL,-65000.0000
1988,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,5,NULL,521000.0000
1988,Defense,S,Always Small Vendor,PDuns,NULL,0,0,2,2,NULL,1447000.0000
1988,Defense,S,Always Small Vendor,PDuns,NULL,1,1,5,5,NULL,2159000.0000
1989,Defense,B,Big Five,PDuns,NULL,1,1,4,5,NULL,112109000.0000
1989,Defense,B,Big Five,PID,NULL,1,1,5,5,NULL,79809000.0000
1989,Defense,L,Large Vendor,PDuns,NULL,1,1,5,10,NULL,9983000.0000
1989,Defense,L,Large Vendor,PID,NULL,1,1,33,33,NULL,250590000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,0,9,9,NULL,921000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,1,NULL,44000.0000
1989,Defense,M,Medium Vendor,PDuns,NULL,1,1,306,1042,NULL,681605000.0000
1989,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-595000.0000
1989,Defense,M,Medium Vendor,PID,NULL,1,1,37,37,NULL,297765975.0000
1989,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,22,31,NULL,63842000.0000
1989,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,NULL,1097000.0000
1989,Defense,S,Always Small Vendor,PDuns,NULL,0,0,8,8,NULL,-1726029.0000
1989,Defense,S,Always Small Vendor,PDuns,NULL,1,1,269,274,NULL,137886000.0000
1989,Defense,S,Always Small Vendor,PID,NULL,1,1,13,13,NULL,3353000.0000
1990,Defense,B,Big Five,PDuns,NULL,1,1,5,22,NULL,272499000.0000
1990,Defense,B,Big Five,PID,NULL,0,0,1,1,NULL,-35000.0000
1990,Defense,B,Big Five,PID,NULL,1,1,5,5,NULL,15869067707.0000
1990,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,NULL,103874000.0000
1990,Defense,L,Large Vendor,PDuns,NULL,1,1,29,18263,NULL,12190687236.0000
1990,Defense,L,Large Vendor,PID,NULL,0,0,1,1,NULL,NULL
1990,Defense,L,Large Vendor,PID,NULL,1,1,106,106,NULL,47689802888.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,0,0,111,113,NULL,-9543000.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,0,1,4,5,NULL,-1236000.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,1,1,3861,6158,2,10733028964.0000
1990,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-1137000.0000
1990,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,34000.0000
1990,Defense,M,Medium Vendor,PID,NULL,1,1,183,183,NULL,11932112493.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,16,16,NULL,-16815000.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1,NULL,-943000.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1889,4580,NULL,12429230708.0000
1990,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,109,109,NULL,4833639734.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,0,0,107,107,NULL,-22822000.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,0,1,13,13,NULL,941000.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,1,1,3597,3857,1,3493644675.0000
1990,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,NULL,0.0000
1990,Defense,S,Always Small Vendor,PID,NULL,1,1,70,70,NULL,854098000.0000
1991,Defense,B,Big Five,PDuns,NULL,1,1,2,16,NULL,313791000.0000
1991,Defense,B,Big Five,PID,NULL,1,1,6,6,NULL,18455984964.0000
1991,Defense,J,Large: Big 5 JV,PID,NULL,1,1,2,2,NULL,337699000.0000
1991,Defense,L,Large Vendor,PDuns,NULL,1,1,38,145,2,544358040.0000
1991,Defense,L,Large Vendor,PID,NULL,1,1,110,110,2,47871034037.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,0,0,24,24,NULL,-2562208.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,0,1,27,27,NULL,861678.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,1,1,2940,25154,NULL,28008119876.0000
1991,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,97000.0000
1991,Defense,M,Medium Vendor,PID,NULL,0,1,1,1,NULL,26000.0000
1991,Defense,M,Medium Vendor,PID,NULL,1,1,168,168,1,9176534454.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,3,5,NULL,-2072000.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,2,NULL,-1282000.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1537,4369,NULL,15461116923.0000
1991,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,134,134,NULL,9203236151.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,0,0,119,119,NULL,-95546380.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,0,1,65,65,NULL,-12494025.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,1,1,4563,4941,1,5817628873.0000
1991,Defense,S,Always Small Vendor,PID,NULL,1,1,111,111,NULL,1077662461.0000
1992,Defense,B,Big Five,PDuns,NULL,1,1,3,9,NULL,276029149.0000
1992,Defense,B,Big Five,PID,NULL,1,1,6,6,4,18797646629.0000
1992,Defense,J,Large: Big 5 JV,PID,NULL,1,1,3,3,NULL,609360462.0000
1992,Defense,L,Large Vendor,PDuns,NULL,1,1,32,198,NULL,814518059.0000
1992,Defense,L,Large Vendor,PID,NULL,1,1,120,120,8,42232116460.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,0,0,22,22,1,-7293296.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,0,1,45,45,NULL,979816.0000
