fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	-171000.0000
1988	Defense	B	Big Five	PID	NULL	1	1	2	2	NULL	694000.0000
1988	Defense	L	Large Vendor	PID	NULL	1	1	9	9	NULL	2460000.0000
1988	Defense	M	Medium Vendor	PDuns	NULL	0	0	3	3	NULL	-138330.0000
1988	Defense	M	Medium Vendor	PDuns	NULL	1	1	10	10	NULL	575000.0000
1988	Defense	M	Medium Vendor	PID	NULL	1	1	2	2	NULL	-65000.0000
1988	Defense	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	5	NULL	521000.0000
1988	Defense	S	Always Small Vendor	PDuns	NULL	0	0	2	2	NULL	1447000.0000
1988	Defense	S	Always Small Vendor	PDuns	NULL	1	1	5	5	NULL	2159000.0000
1989	Defense	B	Big Five	PID	NULL	1	1	5	5	NULL	79809000.0000
1989	Defense	L	Large Vendor	PID	NULL	1	1	33	33	NULL	250590000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	0	0	11	11	NULL	-927000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	0	1	1	1	NULL	44000.0000
1989	Defense	M	Medium Vendor	PDuns	NULL	1	1	312	378	NULL	337409000.0000
1989	Defense	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	-595000.0000
1989	Defense	M	Medium Vendor	PID	NULL	1	1	37	37	NULL	297765975.0000
1989	Defense	N	Sometimes Small Vendor	PDuns	NULL	1	1	22	31	NULL	63842000.0000
1989	Defense	N	Sometimes Small Vendor	PID	NULL	1	1	1	1	NULL	1097000.0000
1989	Defense	S	Always Small Vendor	PDuns	NULL	0	0	8	8	NULL	-1726029.0000
1989	Defense	S	Always Small Vendor	PDuns	NULL	1	1	270	951	NULL	606022000.0000
1989	Defense	S	Always Small Vendor	PID	NULL	1	1	13	13	NULL	3353000.0000
1990	Defense	NULL	NULL	PID	NULL	NULL	NULL	12	12	NULL	81292000.0000
1990	Defense	B	Big Five	PID	NULL	0	0	1	1	NULL	-35000.0000
1990	Defense	B	Big Five	PID	NULL	1	1	5	5	NULL	15869067707.0000
1990	Defense	J	Large: Big 5 JV	PID	NULL	1	1	1	1	NULL	103874000.0000
1990	Defense	L	Large Vendor	PID	NULL	0	0	1	1	NULL	NULL
1990	Defense	L	Large Vendor	PID	NULL	1	1	107	107	NULL	47890510888.0000
1990	Defense	M	Medium Vendor	PDuns	NULL	0	0	111	113	NULL	-28009000.0000
1990	Defense	M	Medium Vendor	PDuns	NULL	0	1	5	6	NULL	-1189000.0000
1990	Defense	M	Medium Vendor	PDuns	NULL	1	1	3877	6168	2	11065860964.0000
1990	Defense	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	-1137000.0000
1990	Defense	M	Medium Vendor	PID	NULL	0	1	1	1	NULL	34000.0000
1990	Defense	M	Medium Vendor	PID	NULL	1	1	181	181	NULL	11732279493.0000
1990	Defense	N	Sometimes Small Vendor	PDuns	NULL	0	0	16	16	NULL	-16815000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns	NULL	0	1	1	1	NULL	-943000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns	NULL	1	1	1898	22832	NULL	24475726944.0000
1990	Defense	N	Sometimes Small Vendor	PID	NULL	1	1	109	109	NULL	4833639734.0000
1990	Defense	S	Always Small Vendor	PDuns	NULL	0	0	102	102	NULL	-23008000.0000
1990	Defense	S	Always Small Vendor	PDuns	NULL	0	1	18	18	NULL	1127000.0000
1990	Defense	S	Always Small Vendor	PDuns	NULL	1	1	3599	3856	1	3513754675.0000
1990	Defense	S	Always Small Vendor	PID	NULL	0	0	1	1	NULL	0.0000
1990	Defense	S	Always Small Vendor	PID	NULL	1	1	70	70	NULL	854098000.0000
1991	Defense	NULL	NULL	PID	NULL	NULL	NULL	15	15	NULL	230268453.0000
1991	Defense	B	Big Five	PID	NULL	1	1	6	6	NULL	18455984964.0000
1991	Defense	J	Large: Big 5 JV	PID	NULL	1	1	2	2	NULL	337699000.0000
1991	Defense	L	Large Vendor	PID	NULL	1	1	111	111	2	48050747264.0000
1991	Defense	M	Medium Vendor	PDuns	NULL	0	0	24	24	NULL	-2543208.0000
1991	Defense	M	Medium Vendor	PDuns	NULL	0	1	28	28	NULL	816678.0000
1991	Defense	M	Medium Vendor	PDuns	NULL	1	1	2959	4785	NULL	10627795120.0000
1991	Defense	M	Medium Vendor	PID	NULL	0	0	1	1	NULL	97000.0000
1991	Defense	M	Medium Vendor	PID	NULL	0	1	1	1	NULL	26000.0000
1991	Defense	M	Medium Vendor	PID	NULL	1	1	167	167	1	9174812454.0000
1991	Defense	N	Sometimes Small Vendor	PDuns	NULL	0	0	3	5	NULL	-2072000.0000
1991	Defense	N	Sometimes Small Vendor	PDuns	NULL	0	1	1	2	NULL	-1282000.0000
1991	Defense	N	Sometimes Small Vendor	PDuns	NULL	1	1	1551	24881	2	33516113266.0000
1991	Defense	N	Sometimes Small Vendor	PID	NULL	1	1	133	133	NULL	9044094924.0000
1991	Defense	S	Always Small Vendor	PDuns	NULL	0	0	108	108	NULL	-95488380.0000
1991	Defense	S	Always Small Vendor	PDuns	NULL	0	1	76	76	NULL	-12552025.0000
1991	Defense	S	Always Small Vendor	PDuns	NULL	1	1	4563	4938	1	5752013873.0000
1991	Defense	S	Always Small Vendor	PID	NULL	1	1	111	111	NULL	1077662461.0000
1992	Defense	NULL	NULL	PID	NULL	NULL	NULL	16	16	NULL	149340701.0000
1992	Defense	B	Big Five	PID	NULL	1	1	6	6	4	18797646629.0000
1992	Defense	J	Large: Big 5 JV	PID	NULL	1	1	3	3	NULL	609360462.0000
1992	Defense	L	Large Vendor	PID	NULL	1	1	121	121	8	42281086376.0000
1992	Defense	M	Medium Vendor	PDuns	NULL	0	0	22	22	1	-7293296.0000
1992	Defense	M	Medium Vendor	PDuns	NULL	0	1	45	45	NULL	979434.0000
1992	Defense	M	Medium Vendor	PDuns	NULL	1	1	3618	5464	3	9915385801.0000
1992	Defense	M	Medium Vendor	PID	NULL	0	1	1	1	NULL	25509.0000
1992	Defense	M	Medium Vendor	PID	NULL	1	1	198	198	2	8552078283.0000
1992	Defense	N	Sometimes Small Vendor	PDuns	NULL	0	1	2	3	NULL	1194956.0000
1992	Defense	N	Sometimes Small Vendor	PDuns	NULL	1	1	1467	28415	NULL	29926736469.0000
